@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"A_meeting_initiator_shall_initiate_a_meeting_by_deciding_on_a_meeting_topic_by_selecting_a_list_of_potential_meeting_participants_and_by_selecting_a_date_range_duration_and_location_for_the_meeting_","A_meeting_shall_initiate_a_meeting_by_deciding_on_a_meeting_topic_by_selecting_a_list_of_potential_meeting_participants_and_by_selecting_a_date_range_duration_and_location_for_the_meeting_","initiator","relevant"
"A_meeting_initiator_or_potential_meeting_participant_shall_provide_the_ability_where_a_person_may_delegate_the_ability_to_initiate_or_accept_or_decline_a_meeting_to_another_system_user_","A_meeting_or_potential_meeting_participant_shall_provide_the_ability_where_a_may_delegate_the_ability_to_initiate_or_accept_or_decline_a_meeting_to_another_system_user_","initiator_person","irrelevant"
"A_meeting_initiator_shall_be_one_of_the_potential_meeting_participants_by_default_but_may_opt_to_remove_himself_as_a_potential_meeting_participant_","A_meeting_shall_be_one_of_the_potential_meeting_participants_by_default_but_may_opt_to_remove_himself_as_a_potential_meeting_participant_","initiator","relevant"
"A_meeting_initiator_shall_confirm_the_meeting_and_the_system_shall_change_the_time_slots_of_accepting_meeting_participants_from_a_temporary_reservation_to_a_scheduled_meeting_once_all_potential_meeting_participants_have_responded_to_the_meeting_proposal_","A_meeting_shall_confirm_the_meeting_and_the_shall_change_the_time_slots_of_accepting_meeting_participants_from_a_temporary_reservation_to_a_scheduled_meeting_once_all_potential_meeting_have_responded_to_the_meeting_proposal_","initiator_system_participants","relevant"
"A_meeting_initiator_shall_cancel_the_meeting_and_the_system_shall_change_the_time_slots_from_being_temporarily_reserved_to_be_freed_once_the_meeting_is_canceled_","A_meeting_shall_cancel_the_meeting_and_the_shall_change_the_time_slots_from_being_temporarily_reserved_to_be_freed_once_the_is_canceled_","initiator_system_meeting","relevant"
"A_meeting_initiator_shall_reschedule_the_meeting_and_the_system_reschedule_the_meeting_by_releasing_the_temporary_reservations_and_selecting_a_different_data_range_duration_or_location_and_starting_the_process_over_","A_meeting_shall_reschedule_the_meeting_and_the_reschedule_the_meeting_by_releasing_the_temporary_reservations_and_selecting_a_different_data_range_duration_or_location_and_starting_the_process_over_","initiator_system","relevant"
"A_meeting_initiator_may_send_a_meeting_proposal_for_a_virtual_meeting_for_the_available_time_slot_if_the_date_range_and_duration_is_acceptable_but_no_location_for_the_meeting_is_available_","A_meeting_may_send_a_meeting_proposal_for_a_virtual_meeting_for_the_available_time_slot_if_the_date_and_duration_is_acceptable_but_no_for_the_meeting_is_available_","initiator_range_location","relevant"
"A_meeting_initiator_may_cancel_the_meeting_or_reschedule_the_meeting_at_any_time_prior_to_the_start_of_the_meeting_","A_meeting_may_cancel_the_meeting_or_reschedule_the_meeting_at_any_time_prior_to_the_start_of_the_meeting_","initiator","relevant"
"A_meeting_scheduler_may_optionally_automatically_propose_another_meeting_if_current_meeting_is_canceled_by_an_important_participant_","A_meeting_may_optionally_automatically_propose_another_meeting_if_current_is_canceled_by_an_important_participant_","scheduler_meeting","relevant"
"A_meeting_scheduler_may_provide_the_meeting_initiator_a_summary_of_the_scan_of_potential_meeting_participants_showing_available_time_slots_and_schedule_conflicts_as_a_means_of_informing_the_meeting_initiator_of_the_overall_results_of_the_system_","A_meeting_may_provide_the_meeting_initiator_a_summary_of_the_scan_of_potential_meeting_participants_showing_available_time_slots_and_schedule_conflicts_as_a_means_of_informing_the_meeting_initiator_of_the_overall_results_of_the_system_","scheduler","relevant"
