@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"Manage_course_information_the_general_user_can_use_the_system_to_enter_and_modify_course_information_The_local_database_maintains_the_information_","Manage_course_information_the_general_can_use_the_system_to_enter_and_modify_course_information_The_local_maintains_the_information_","user_database","relevant"
"Manage_student_information_the_general_user_can_use_the_system_to_enter_and_modify_student_information_or_to_download_student_information_from_the_university_database_In_addition_the_user_can_delete_a_student_from_a_course_The_local_database_maintains_the_information_","Manage_student_information_the_general_can_use_the_system_to_enter_and_modify_student_information_or_to_download_student_information_from_the_university_database_In_addition_the_can_delete_a_student_from_a_course_The_local_maintains_the_information_","user_user_database","relevant"
"Enter_outcomes_the_general_user_can_use_the_system_to_enter_course_outcomes_The_user_can_assign_a_ranking_to_each_course_outcome_The_local_database_maintains_the_information_","Enter_outcomes_the_general_can_use_the_system_to_enter_course_outcomes_The_can_assign_a_ranking_to_each_course_outcome_The_local_maintains_the_information_","user_user_database","relevant"
"the_general_user_can_use_the_system_to_select_one_of_two_types_of_targeted_competencies_that_can_be_used_to_automatically_check_progress_toward_achieving_course_outcomes_","the_general_can_use_the_system_to_select_one_of_two_types_of_targeted_competencies_can_be_used_to_automatically_check_progress_toward_achieving_course_outcomes_","user_that","relevant"
"the_general_user_can_use_the_system_to_map_course_outcomes_to_program_outcomes_to_map_AIUs_to_course_outcomes_and_to_map_course_outcomes_to_targeted_competencies_","the_general_can_use_the_system_to_map_course_outcomes_to_program_outcomes_to_map_AIUs_to_course_outcomes_and_to_map_course_outcomes_to_targeted_competencies_","user","relevant"
"The_general_user_can_use_the_system_to_enter_information_related_to_an_AI_","The_general_can_use_the_system_to_enter_information_related_to_an_AI_","user","relevant"
"Modify_AIs_the_general_user_can_use_the_system_to_modify_information_related_to_an_AI_The_local_database_maintains_the_information_","Modify_AIs_the_general_can_use_the_system_to_modify_information_related_to_an_AI_The_local_maintains_the_information_","user_database","relevant"
"Enter_grades_the_general_user_can_use_the_system_to_enter_student_grades_related_to_an_AI_and_to_enter_formulae_for_calculating_grades_The_local_database_maintains_the_information_","Enter_grades_the_general_can_use_the_system_to_enter_student_grades_related_to_an_AI_and_to_enter_formulae_for_calculating_grades_The_local_maintains_the_information_","user_database","relevant"
"Archive_course_and_student_information_the_general_user_can_use_the_system_to_archive_course_and_student_information_to_the_central_database_from_the_local_database_at_the_end_of_the_semester_","Archive_course_and_student_information_the_general_can_use_the_system_to_archive_course_and_student_information_to_the_central_database_from_the_local_database_at_the_end_of_the_semester_","user","relevant"
"Access_the_system_the_general_user_can_access_the_system_through_a_unique_login_name_and_password_","Access_the_system_the_general_can_access_the_system_through_a_unique_login_name_and_password_","user","relevant"
"Open_course_the_general_user_can_select_a_course_from_the_list_of_courses_that_s_he_owns_","Open_course_the_general_can_select_a_course_from_the_list_of_courses_that_s_owns_","user_he","relevant"
"Set_password_The_user_can_set_the_password_for_accessing_and_entering_information_on_the_course_","Set_password_The_can_set_the_password_for_accessing_and_entering_information_on_the_course_","user","relevant"
"Set_property_list_The_user_can_set_the_property_list_that_gives_the_login_names_for_the_users_who_can_access_a_course_","Set_property_list_The_can_set_the_property_list_gives_the_login_names_for_the_users_can_access_a_course_","user_that_who","relevant"
"Enter_formula_the_general_user_can_define_the_formulas_that_will_be_used_to_calculate_students_grades_on_an_AI_assessment_category_or_course_","Enter_formula_the_general_can_define_the_formulas_will_be_used_to_calculate_students_grades_on_an_AI_assessment_category_or_course_","user_that","relevant"
"The_system_will_not_be_accessible_to_unauthorized_users_","The_will_not_be_accessible_to_unauthorized_users_","system","relevant"
"All_data_transmitted_to_the_central_database_will_be_encrypted_","All_transmitted_to_the_central_database_will_be_encrypted_","data","relevant"
"According_to_the_term_of_reference_TOR_the_software_development_should_be_completed_by_the_end_of_April_2001_The_development_team_should_deploy_the_system_to_the_production_environment_within_6_months_after_the_completion_","According_to_the_term_of_reference_TOR_the_software_should_be_completed_by_the_end_of_April_2001_The_development_should_deploy_the_system_to_the_production_environment_within_6_months_after_the_completion_","development_team","irrelevant"
"The_university_database_is_the_banner_system_which_plays_the_central_roles_within_the_enterprise_architecture_The_system_is_maintained_by_the_central_for_computation_and_services","The_university_is_the_banner_system_plays_the_central_roles_within_the_enterprise_architecture_The_is_maintained_by_the_central_for_computation_and_services","database_which_system","irrelevant"
"Each_professor_has_access_to_a_desktop_computer_","Each_has_access_to_a_desktop_computer_","professor","relevant"
"A_table_with_login_and_password_has_been_set_up_for_each_professor_in_the_departments_of_the_College_of_Engineering_and_is_maintained_in_the_local_database_","A_with_login_and_password_has_been_set_up_for_each_professor_in_the_departments_of_the_College_of_Engineering_and_is_maintained_in_the_local_database_","table","irrelevant"
"The_initial_login_and_password_for_general_users_will_be_encrypted_","The_initial_and_password_for_general_users_will_be_encrypted_","login","relevant"
"The_timeframe_to_upload_data_to_the_central_database_is_the_day_that_grades_are_due_to_the_university_and_one_week_before_the_start_of_the_new_semester_","The_to_upload_data_to_the_central_database_is_the_day_that_are_due_to_the_university_and_one_week_before_the_start_of_the_new_semester_","timeframe_grades","relevant"
"Student_outcomes_that_include_course_outcomes_ABET_outcomes_a_k_and_additional_program_outcomes_are_stored_in_the_local_database_","Student_include_course_outcomes_ABET_outcomes_a_k_and_additional_program_outcomes_are_stored_in_the_local_database_","outcomes_that","relevant"
"Once_a_student_is_dropped_the_information_associated_with_the_student_cannot_be_removed_or_modified_","Once_a_is_dropped_the_associated_with_the_student_cannot_be_removed_or_modified_","student_information","relevant"
