@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_system_shall_display_detailed_product_categorization_to_the_user_","The_shall_display_detailed_product_categorization_to_the_user_","system","relevant"
"The_system_shall_enable_user_to_enter_the_search_text_on_the_screen_","The_shall_enable_user_to_enter_the_search_text_on_the_screen_","system","relevant"
"The_system_shall_enable_user_to_select_multiple_options_on_the_screen_to_search_","The_shall_enable_user_to_select_multiple_options_on_the_screen_to_search_","system","relevant"
"The_system_shall_display_all_the_matching_products_based_on_the_search_","The_shall_display_all_the_matching_products_based_on_the_search_","system","relevant"
"The_system_shall_display_only_10_matching_result_on_the_current_screen_","The_shall_display_only_10_matching_result_on_the_current_screen_","system","relevant"
"The_system_shall_enable_user_to_navigate_between_the_search_results_","The_shall_enable_user_to_navigate_between_the_search_results_","system","relevant"
"The_system_shall_notify_the_user_when_no_matching_product_is_found_on_the_search_","The_shall_notify_the_user_when_no_matching_is_found_on_the_search_","system_product","relevant"
"The_system_shall_allow_user_to_create_profile_and_set_his_credential_","The_shall_allow_to_create_profile_and_set_his_credential_","system_user","relevant"
"The_system_shall_authenticate_user_credentials_to_view_the_profile_","The_shall_authenticate_user_credentials_to_view_the_profile_","system","relevant"
"The_system_shall_allow_user_to_update_the_profile_information_","The_shall_allow_to_update_the_profile_information_","system_user","relevant"
"The_system_shall_display_both_the_active_and_completed_order_history_in_the_customer_profile_","The_shall_display_both_the_active_and_completed_order_history_in_the_customer_profile_","system","relevant"
"The_system_shall_allow_user_to_select_the_order_from_the_order_history_","The_shall_allow_to_select_the_order_from_the_order_history_","system_user","relevant"
"The_system_shall_display_the_detailed_information_about_the_selected_order_","The_shall_display_the_detailed_information_about_the_selected_order_","system","relevant"
"The_system_shall_display_the_most_frequently_searched_items_by_the_user_in_the_profile_","The_shall_display_the_most_frequently_searched_items_by_the_user_in_the_profile_","system","relevant"
"The_system_shall_allow_user_to_register_for_newsletters_and_surveys_in_the_profile_","The_shall_allow_to_register_for_newsletters_and_surveys_in_the_profile_","system_user","relevant"
"The_system_shall_provide_online_help_FAQ_s_customer_support_and_sitemap_options_for_customer_support_","The_shall_provide_online_help_FAQ_s_customer_support_and_sitemap_options_for_customer_support_","system","relevant"
"The_system_shall_allow_user_to_select_the_support_type_he_wants_","The_shall_allow_to_select_the_support_type_wants_","system_user_he","relevant"
"The_system_shall_allow_user_to_enter_the_customer_and_product_information_for_the_support_","The_shall_allow_to_enter_the_customer_and_product_information_for_the_support_","system_user","relevant"
"The_system_shall_display_the_customer_support_contact_numbers_on_the_screen_","The_shall_display_the_customer_support_contact_numbers_on_the_screen_","system","relevant"
"The_system_shall_allow_user_to_enter_the_contact_number_for_support_personnel_to_call_","The_shall_allow_to_enter_the_contact_number_for_support_personnel_to_call_","system_user","relevant"
"The_system_shall_display_the_online_help_upon_request_","The_shall_display_the_online_help_upon_request_","system","relevant"
"The_system_shall_display_the_FAQ_upon_request_","The_shall_display_the_FAQ_upon_request_","system","relevant"
"The_system_shall_maintain_customer_email_information_as_a_required_part_of_customer_profile_","The_shall_maintain_customer_email_information_as_a_required_part_of_customer_profile_","system","relevant"
"The_system_shall_send_an_order_confirmation_to_the_user_through_email_","The_shall_send_an_order_confirmation_to_the_user_through_email_","system","relevant"
"The_system_shall_display_detailed_invoice_for_current_order_once_it_is_confirmed_","The_shall_display_detailed_invoice_for_current_order_once_is_confirmed_","system_it","relevant"
"The_system_shall_optionally_allow_user_to_print_the_invoice_","The_shall_optionally_allow_to_print_the_invoice_","system_user","relevant"
"The_system_shall_provide_shopping_cart_during_online_purchase_","The_shall_provide_shopping_cart_during_online_purchase_","system","relevant"
"The_system_shall_allow_user_to_add_remove_products_in_the_shopping_cart_","The_shall_allow_to_add_remove_products_in_the_shopping_cart_","system_user","relevant"
"The_system_shall_display_different_shipping_options_provided_by_shipping_department_","The_shall_display_different_shipping_options_provided_by_shipping_department_","system","relevant"
"The_system_shall_enable_user_to_select_the_shipping_method_during_payment_process_","The_shall_enable_user_to_select_the_shipping_method_during_payment_process_","system","relevant"
"The_system_shall_display_the_shipping_charges_","The_shall_display_the_shipping_charges_","system","relevant"
"The_system_shall_display_tentative_duration_for_shipping_","The_shall_display_tentative_duration_for_shipping_","system","relevant"
"The_system_shall_allow_user_to_enter_the_order_information_for_tracking_","The_shall_allow_to_enter_the_order_information_for_tracking_","system_user","relevant"
"The_system_shall_display_the_current_tracking_information_about_the_order_","The_shall_display_the_current_tracking_information_about_the_order_","system","relevant"
"The_system_shall_calculate_tax_for_the_order_","The_shall_calculate_tax_for_the_order_","system","relevant"
