@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"PHP_IDE_s_main_user_objective_is_to_answer_all_PHP_developer_needs_","PHP_s_main_user_objective_is_to_answer_all_PHP_developer_needs_","IDE","relevant"
"A_PHP_project_contains_source_code_and_related_files_for_maintaining_a_PHP_Application_A_PHP_project_can_be_organized_in_two_different_ways_using_the_project_as_the_source_container_Using_source_folders_inside_the_project_as_the_source_container_","A_PHP_contains_source_code_and_related_files_for_maintaining_a_PHP_Application_A_PHP_can_be_organized_in_two_different_ways_using_the_project_as_the_source_container_Using_source_folders_inside_the_project_as_the_source_container_","project_project","relevant"
"A_wizard_is_available_for_creating_a_PHP_project_The_wizard_can_be_access_by_the_Project_Wizard_in_eclipse_File_New_Project_In_the_Project_Wizard_there_will_be_a_project_type_named_PHP_Project_that_will_launch_the_create_PHP_project_wizard_","A_is_available_for_creating_a_PHP_project_The_can_be_access_by_the_Project_Wizard_in_eclipse_File_New_Project_In_the_Project_Wizard_there_will_be_a_project_type_named_PHP_Project_will_launch_the_create_PHP_project_wizard_","wizard_wizard_that","relevant"
"When_in_the_PHP_perspective_a_Create_PHP_project_wizard_icon_will_be_on_the_tool_bar_and_a_File_New_PHP_Project_will_exist_on_the_menu_","When_in_the_perspective_a_Create_PHP_project_wizard_will_be_on_the_tool_bar_and_a_File_New_PHP_Project_will_exist_on_the_menu_","PHP_icon","relevant"
"PHP_Version_The_user_should_be_able_to_choose_between_PHP4_and_PHP5_and_by_that_change_all_related_components_code_assist_syntax_coloring_and_PHP_functions_","PHP_Version_The_should_be_able_to_choose_between_PHP4_and_PHP5_and_by_that_change_all_related_components_code_assist_syntax_coloring_and_PHP_functions_","user","irrelevant"
"ASP_tags_support_as_PHP_tags_for_all_PHP_actions_and_parsing_","ASP_support_as_PHP_tags_for_all_PHP_actions_and_parsing_","tags","relevant"
"Default_File_Encoding_The_project_will_support_a_default_encoding_that_will_be_used_for_all_files_created_in_the_project_Location_The_location_of_the_project_The_default_location_when_a_project_is_created_is_the_eclipse_workspace_When_a_location_is_specified_any_directory_file_at_that_location_will_be_part_of_the_project_Only_the_developer_s_data_files_will_reside_at_the_location_Eclipse_internal_project_files_will_reside_in_a_eclipse_internal_directory_","Default_File_Encoding_The_will_support_a_default_encoding_will_be_used_for_all_files_created_in_the_project_Location_The_location_of_the_project_The_default_when_a_is_created_is_the_eclipse_workspace_When_a_is_specified_any_directory_at_that_location_will_be_part_of_the_project_Only_the_s_data_will_reside_at_the_location_Eclipse_internal_project_will_reside_in_a_eclipse_internal_directory_","project_that_location_project_location_file_developer_files_files","relevant"
"The_PHP_project_will_support_a_properties_menu_item_to_display_the_properties_of_a_project_","The_PHP_will_support_a_properties_menu_item_to_display_the_properties_of_a_project_","project","relevant"
"Files_can_be_added_to_a_project_by_the_following_methods_Import_from_File_System_Drag_and_Drop_","can_be_added_to_a_project_by_the_following_methods_Import_from_File_System_Drag_and_Drop_","Files","relevant"
"Any_file_that_is_not_added_to_a_project_using_the_New_PHP_file_Wizard_will_be_given_the_default_file_encoding_of_the_project_","Any_is_not_added_to_a_project_using_the_New_PHP_file_Wizard_will_be_given_the_default_file_encoding_of_the_project_","file_that","relevant"
"A_project_can_be_saved_retrieved_and_synchronized_with_a_CVS_repository_All_the_properties_of_the_project_and_files_in_the_project_encoding_version_etc_will_be_saved_retrieved_and_synchronized_with_the_repository_","A_can_be_saved_retrieved_and_synchronized_with_a_CVS_repository_All_the_of_the_project_and_files_in_the_project_encoding_version_etc_will_be_saved_retrieved_and_synchronized_with_the_repository_","project_properties","irrelevant"
"These_are_the_menu_items_that_affect_a_PHP_project_There_may_be_other_items_on_the_Project_Menu_because_eclipse_supports_other_types_of_projects_The_Project_Menu_items_vary_based_on_the_project_selected_","are_the_menu_items_affect_a_PHP_project_There_may_be_other_items_on_the_Project_Menu_because_supports_other_types_of_projects_The_Project_Menu_vary_based_on_the_project_selected_","These_that_eclipse_items","irrelevant"
