@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_system_supports_but_does_not_require_streamlined_staff_login_methods_for_example_staff_member_swipes_a_card_to_log_into_a_terminal_or_the_staff_member_logs_into_a_terminal_by_using_his_her_individual_login_and_password_","The_supports_but_does_not_require_streamlined_staff_login_methods_for_example_staff_swipes_a_card_to_log_into_a_terminal_or_the_staff_logs_into_a_terminal_by_using_his_her_individual_login_and_password_","system_member_member","relevant"
"System_administrators_can_create_reliable_report_templates_that_are_available_to_staff_and_can_be_run_as_is_or_modified_to_the_staff_person_s_particular_needs_Changes_in_the_templates_could_be_done_without_comprising_the_results_The_administrator_can_limit_the_filters_and_display_fields_that_can_be_altered_to_certify_a_dependable_output_For_example_front_line_staff_could_set_the_call_number_range_for_a_weeding_report_or_add_or_remove_designated_display_fields_from_a_pick_list_but_couldn_t_alter_the_template_to_display_deleted_items_","System_can_create_reliable_report_templates_are_available_to_staff_and_can_be_run_as_is_or_modified_to_the_staff_person_s_particular_needs_in_the_templates_could_be_done_without_comprising_the_results_The_can_limit_the_filters_and_display_fields_can_be_altered_to_certify_a_dependable_output_For_example_front_line_could_set_the_call_number_range_for_a_weeding_report_or_add_or_remove_designated_display_fields_from_a_pick_list_but_could_n_t_alter_the_template_to_display_deleted_items_","administrators_that_Changes_administrator_that_staff","irrelevant"
"System_provides_distinct_fine_grained_permission_levels_limiting_who_can_create_and_clone_reports_All_permissions_should_be_easy_to_administer_System_administrators_can_create_shared_folders_to_allow_or_disallow_staff_to_run_specific_reports_and_or_to_run_ad_hoc_reports_on_specific_sets_of_data_","provides_distinct_fine_grained_permission_levels_limiting_can_create_and_clone_reports_All_should_be_easy_to_administer_System_can_create_shared_folders_to_allow_or_disallow_to_run_specific_reports_and_or_to_run_ad_hoc_reports_on_specific_sets_of_data_","System_who_permissions_administrators_staff","relevant"
"System_provides_a_user_friendly_interface_for_designing_queries_against_all_record_types_Staff_can_select_fields_to_query_select_values_from_picklist_of_possible_values_select_regular_expressions_from_drop_down_menu_and_use_a_full_range_of_Boolean_operators_Administrators_control_staff_access_to_tables_and_fields_","provides_a_user_friendly_interface_for_designing_queries_against_all_record_types_can_select_fields_to_query_select_values_from_picklist_of_possible_values_select_regular_expressions_from_drop_down_menu_and_use_a_full_range_of_Boolean_operators_control_staff_access_to_tables_and_fields_","System_Staff_Administrators","relevant"
"The_system_provides_pre_defined_reports_for_consumption_by_library_boards_or_other_consumers_There_will_be_reports_providing_basic_statistics_like_those_required_by_the_Georgia_Annual_Report_and_Application_for_State_Aid_and_activity_reports_that_indicate_traffic_and_volume_of_use_that_display_statistics_on_check_outs_check_ins_holds_placed_and_holds_filled_It_should_be_possible_cross_tabulated_per_terminal_per_branch_per_library_system_per_hour_per_patron_age_range_per_patron_type_and_per_patron_location_","The_provides_pre_defined_reports_for_consumption_by_library_boards_or_other_consumers_There_will_be_reports_providing_basic_statistics_like_those_required_by_the_Georgia_Annual_Report_and_Application_for_State_Aid_and_activity_reports_indicate_traffic_and_volume_of_use_display_statistics_on_check_outs_check_ins_holds_placed_and_holds_filled_should_be_possible_cross_tabulated_per_terminal_per_branch_per_library_system_per_hour_per_patron_age_range_per_patron_type_and_per_patron_location_","system_that_that_It","relevant"
"System_provides_the_query_selections_along_with_the_results_","provides_the_query_selections_along_with_the_results_","System","relevant"
"Ability_to_see_where_your_report_is_in_the_queue_of_reports_waiting_to_run_","Ability_to_see_where_your_is_in_the_queue_of_reports_waiting_to_run_","report","irrelevant"
"System_must_be_able_to_support_the_reporting_definitions_as_described_in_Appendix_A_","must_be_able_to_support_the_reporting_definitions_as_described_in_Appendix_A_","System","relevant"
"System_must_be_able_to_support_the_fine_grained_reports_requirements_as_described_in_Appendix_B_","must_be_able_to_support_the_fine_grained_reports_requirements_as_described_in_Appendix_B_","System","relevant"
"The_system_produces_statistics_that_can_be_used_to_understand_and_predict_patron_behavior_and_use_of_materials_For_example_how_quickly_is_a_particular_book_returned_on_average_How_likely_is_a_particular_book_to_be_renewed_What_percent_of_check_outs_at_a_particular_branch_are_renewals_","The_produces_statistics_can_be_used_to_understand_and_predict_patron_behavior_and_use_of_materials_For_example_how_quickly_is_a_particular_returned_on_average_How_likely_is_a_particular_to_be_renewed_What_of_check_outs_at_a_particular_branch_are_renewals_","system_that_book_book_percent","relevant"
"The_system_provides_an_interface_showing_capacity_of_all_branches_as_defined_in_PINES_014_","The_provides_an_interface_showing_capacity_of_all_branches_as_defined_in_PINES_014_","system","relevant"
"Ability_to_control_inventory_of_uncataloged_material_such_as_paperback_books_and_children_s_board_books_Support_for_quick_distribution_minimal_branch_labor_and_ability_to_identify_how_the_material_is_being_used_Ability_to_count_transactions_and_include_in_circulation_statistics_and_reports_","Ability_to_control_inventory_of_uncataloged_material_such_as_paperback_books_and_children_s_board_books_Support_for_quick_distribution_minimal_branch_labor_and_ability_to_identify_how_the_is_being_used_Ability_to_count_transactions_and_include_in_circulation_statistics_and_reports_","material","relevant"
"System_provides_a_utility_for_transferring_batches_of_items_between_branches_used_for_example_to_move_books_into_a_mobile_library_an_outreach_program_collection_or_a_just_in_time_warehouse_Utility_includes_ability_to_query_for_candidate_materials_ability_to_save_queries_for_repeated_use_ability_to_manually_select_titles_from_query_results_and_ability_to_change_records_of_all_or_selected_items_to_move_to_new_location_Mechanisms_for_moving_items_include_changing_location_field_generating_pull_lists_etc_In_addition_utility_provides_means_to_revert_items_to_original_location_after_a_set_period_of_time_and_or_based_on_other_criteria_","provides_a_utility_for_transferring_batches_of_items_between_branches_used_for_example_to_move_books_into_a_mobile_library_an_outreach_program_collection_or_a_just_in_time_warehouse_includes_ability_to_query_for_candidate_materials_ability_to_save_queries_for_repeated_use_ability_to_manually_select_titles_from_query_results_and_ability_to_change_records_of_all_or_selected_items_to_move_to_new_location_for_moving_items_include_changing_location_field_generating_pull_lists_etc_In_addition_provides_means_to_revert_items_to_original_location_after_a_set_period_of_time_and_or_based_on_other_criteria_","System_Utility_Mechanisms_utility","relevant"
"The_system_generates_a_list_of_items_that_have_been_in_transit_for_more_than_X_days_X_configurable_per_branch_and_per_system_The_report_would_merge_the_transit_to_and_transit_from_into_one_report_for_ease_of_front_line_staff_use_","The_generates_a_list_of_items_have_been_in_transit_for_more_than_X_days_X_configurable_per_branch_and_per_system_The_would_merge_the_transit_to_and_transit_from_into_one_report_for_ease_of_front_line_staff_use_","system_that_report","relevant"
