@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_product_provides_the_members_with_online_blocking_of_books_capabilities_and_the_Online_Library_System_is_up_and_running_all_day_","The_provides_the_members_with_online_blocking_of_books_capabilities_and_the_Online_Library_System_is_up_and_running_all_day_","product","relevant"
"The_system_provides_logon_facility_to_the_users_","The_provides_logon_facility_to_the_users_","system","relevant"
"The_system_provides_the_members_with_the_option_to_check_their_account_and_or_change_their_options_like_password_of_the_account_whenever_needed_all_through_the_day_during_the_library_hours_","The_provides_the_members_with_the_option_to_check_their_account_and_or_change_their_options_like_password_of_the_account_whenever_needed_all_through_the_day_during_the_library_hours_","system","irrelevant"
"The_system_allows_the_members_to_block_the_books_24_hours_a_day_and_all_the_through_the_semester_","The_allows_the_to_block_the_books_24_hours_a_day_and_all_the_through_the_semester_","system_members","relevant"
"The_system_lets_the_library_staff_to_check_which_all_members_have_blocked_the_books_and_whether_they_can_borrow_any_more_books_or_not_","The_lets_the_library_to_check_which_all_have_blocked_the_books_and_whether_can_borrow_any_more_books_or_not_","system_staff_members_they","relevant"
"The_system_allows_the_Librarian_to_create_the_books_catalog_add_delete_books_and_maintain_the_books_catalog_","The_allows_the_to_create_the_books_catalog_add_delete_books_and_maintain_the_books_catalog_","system_Librarian","relevant"
"The_system_updates_the_billing_system_as_and_when_the_member_borrows_or_returns_a_book_","The_updates_the_billing_system_as_and_when_the_borrows_or_returns_a_book_","system_member","relevant"
"The_book_catalog_is_automated_and_the_decision_of_offering_the_book_based_on_the_category_of_the_book_is_automatically_decided_","The_book_is_automated_and_the_of_offering_the_book_based_on_the_category_of_the_book_is_automatically_decided_","catalog_decision","relevant"
"We_also_have_an_order_department_which_manages_to_add_or_remove_a_book_from_the_Library_","also_have_an_order_department_manages_to_add_or_remove_a_book_from_the_Library_","We_which","relevant"
"The_member_should_be_provided_with_the_updated_information_about_the_books_catalog_","The_should_be_provided_with_the_updated_information_about_the_books_catalog_","member","relevant"
"Provisions_for_the_members_to_borrow_the_books_they_want_if_all_the_other_required_rules_hold_good_","Provisions_for_the_to_borrow_the_books_want_if_all_the_other_required_hold_good_","members_they_rules","relevant"
"The_member_is_given_a_provision_to_use_all_facility_within_the_gym_within_the_operational_hour_without_having_to_bring_his_her_member_card_","The_is_given_a_provision_to_use_all_facility_within_the_gym_within_the_operational_hour_without_having_to_bring_his_her_member_card_","member","irrelevant"
"The_members_are_provided_with_the_books_available_roster_and_allowed_to_choose_the_books_which_they_want_to_use_in_the_coming_up_days_","The_are_provided_with_the_books_available_roster_and_allowed_to_choose_the_books_which_want_to_use_in_the_coming_up_days_","members_they","relevant"
"The_librarian_can_get_the_information_about_the_members_who_have_borrowed_or_returned_the_books_","The_can_get_the_information_about_the_members_have_borrowed_or_returned_the_books_","librarian_who","relevant"
"The_librarian_is_provided_with_interfaces_to_add_delete_the_books_available_in_the_book_catalog_","The_is_provided_with_interfaces_to_add_delete_the_books_available_in_the_book_catalog_","librarian","relevant"
"The_members_when_complete_the_book_borrowing_or_returning_process_the_due_to_be_paid_by_the_member_must_be_calculated_and_the_information_about_the_member_and_the_due_amount_is_sent_to_the_university_billing_system_","The_when_complete_the_book_borrowing_or_returning_process_due_to_be_paid_by_the_member_must_be_calculated_and_the_about_the_member_and_the_due_amount_is_sent_to_the_university_billing_system_","members_the_information","relevant"
"The_system_uses_the_University_information_security_requirements_to_provide_the_login_facility_to_the_users_","The_uses_the_University_information_security_requirements_to_provide_the_login_facility_to_the_users_","system","relevant"
"The_information_of_all_the_users_must_be_stored_in_a_database_that_is_accessible_by_the_Online_Library_System_","The_of_all_the_users_must_be_stored_in_a_database_is_accessible_by_the_Online_Library_System_","information_that","relevant"
"The_university_information_security_system_is_a_system_design_to_make_sure_that_all_internet_applications_within_the_university_are_secured_at_all_times_","The_university_information_security_is_a_system_design_to_make_sure_that_all_internet_within_the_university_are_secured_at_all_times_","system_applications","irrelevant"
"The_Online_Library_System_is_connected_to_the_university_computer_and_is_running_all_24_hours_a_day_","The_Online_Library_is_connected_to_the_university_computer_and_is_running_all_24_hours_a_day_","System","relevant"
"The_users_access_the_Wiley_Online_Library_System_by_paying_monthly_fee_starting_from_US_2_up_to_US_10_with_respect_to_their_access_frequency_","The_access_the_Wiley_Online_Library_System_by_paying_monthly_fee_starting_from_US_2_up_to_US_10_with_respect_to_their_access_frequency_","users","relevant"
"The_billing_system_is_connected_to_the_Online_Library_System_and_the_database_used_by_the_billing_system_must_be_compatible_with_the_interface_of_the_Online_Library_System_","The_billing_is_connected_to_the_Online_Library_System_and_the_database_used_by_the_billing_system_must_be_compatible_with_the_interface_of_the_Online_Library_System_","system","relevant"
"The_users_must_have_their_correct_usernames_and_passwords_to_enter_into_the_Online_Library_System_","The_must_have_their_correct_and_passwords_to_enter_into_the_Online_Library_System_","users_usernames","relevant"
"The_users_should_have_pass_high_school_to_be_allowed_to_register_to_the_university_this_year_","The_should_have_pass_high_school_to_be_allowed_to_register_to_the_university_this_year_","users","irrelevant"
"The_University_computer_should_have_Internet_connection_and_Internet_server_capabilities_","The_University_should_have_Internet_connection_and_Internet_server_capabilities_","computer","relevant"
"The_users_know_the_English_language_as_the_user_interface_will_be_provided_in_English","The_know_the_English_language_as_the_user_will_be_provided_in_English","users_interface","relevant"
"The_product_can_access_the_university_student_database","The_can_access_the_university_student_database","product","relevant"
"The_system_shall_provide_the_users_with_logon_capabilities_","The_shall_provide_the_users_with_logon_capabilities_","system","relevant"
"The_Online_Library_System_is_also_supported_on_mobile_devices_such_as_cell_phones_","The_Online_Library_is_also_supported_on_mobile_devices_such_as_cell_phones_","System","relevant"
"The_system_can_alert_the_Librarian_or_the_administrator_in_case_of_any_problems_","The_can_alert_the_Librarian_or_the_administrator_in_case_of_any_problems_","system","relevant"
"The_system_shall_allow_the_users_to_access_the_system_from_the_Internet_using_HTML_or_it_s_derivative_technologies_","The_shall_allow_the_to_access_the_system_from_the_Internet_using_HTML_or_it_s_derivative_technologies_","system_users","relevant"
"The_system_uses_a_web_browser_as_an_interface_","The_uses_a_web_browser_as_an_interface_","system","relevant"
"Since_all_users_are_familiar_with_the_general_usage_of_browsers_we_won_t_have_to_provide_rigorious_training_this_month_","Since_all_are_familiar_with_the_general_usage_of_browsers_won_t_have_to_provide_rigorious_training_this_month_","users_we","relevant"
"The_system_is_user_friendly_and_self_explanatory_","The_is_user_friendly_and_self_explanatory_","system","relevant"
"The_system_has_to_be_very_reliable_due_to_the_importance_of_data_and_the_damages_incorrect_or_incomplete_data_can_do_","The_has_to_be_very_reliable_due_to_the_importance_of_data_and_the_damages_incorrect_or_incomplete_data_can_do_","system","relevant"
"The_system_is_available_100_for_the_user_and_is_used_24_hrs_a_day_and_365_days_a_year_","The_is_available_100_for_the_user_and_is_used_24_hrs_a_day_and_365_days_a_year_","system","relevant"
"The_system_shall_be_operational_24_hours_a_day_and_7_days_a_week_","The_shall_be_operational_24_hours_a_day_and_7_days_a_week_","system","relevant"
