@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_archive_administrator_can_create_a_new_client_space_","The_archive_can_create_a_new_client_space_","administrator","relevant"
"The_client_administrator_can_manage_roles_for_its_client_","The_client_can_manage_roles_for_its_client_","administrator","relevant"
"The_archive_administrator_cannot_access_documents_","The_archive_cannot_access_documents_","administrator","relevant"
"The_client_administrator_can_view_all_roles_","The_client_can_view_all_roles_","administrator","relevant"
"The_client_administrator_cant_read_the_contents_of_documents_","The_client_ca_nt_read_the_contents_of_documents_","administrator","relevant"
"The_client_administrator_cannot_be_deleted_","The_client_cannot_be_deleted_","administrator","relevant"
"An_end_user_can_have_multiple_roles_at_the_same_time_","An_end_can_have_multiple_roles_at_the_same_time_","user","relevant"
"Each_end_user_has_a_person_role_","Each_end_has_a_person_role_","user","irrelevant"
"Only_authenticated_end_users_at_the_client_server_can_access_the_document_space_as_phrased_in_URCAR_45_48_and_URCAR50_","Only_authenticated_end_at_the_client_server_can_access_the_document_space_as_phrased_in_URCAR_45_48_and_URCAR50_","users","relevant"
"End_user_cannot_access_the_document_spaces_of_other_clients_as_phrased_in_URCAR_45_48_and_URCAR50_","End_cannot_access_the_document_spaces_of_other_clients_as_phrased_in_URCAR_45_48_and_URCAR50_","user","relevant"
"An_end_user_can_view_assigned_rights_that_are_assigned_to_his_role_","An_end_can_view_assigned_rights_are_assigned_to_his_role_","user_that","relevant"
"Each_role_is_managed_by_at_most_one_other_role_","Each_is_managed_by_at_most_one_other_role_","role","relevant"
"Each_role_inherits_all_static_rights_from_the_roles_it_manages_","Each_inherits_all_static_rights_from_the_roles_manages_","role_it","relevant"
"Each_role_has_a_set_possibly_empty_of_person_roles_assigned_to_it_","Each_has_a_set_possibly_empty_of_person_roles_assigned_to_it_","role","relevant"
"Each_role_owns_a_set_of_documents_in_the_SDA_","Each_owns_a_set_of_documents_in_the_SDA_","role","relevant"
"Each_role_has_a_set_of_rights_assigned_to_it_","Each_has_a_set_of_rights_assigned_to_it_","role","relevant"
"The_archive_administrator_can_limit_the_available_client_space_","The_archive_can_limit_the_available_client_space_","administrator","relevant"
"A_role_cant_be_deleted_when_there_exists_documents_that_are_owned_by_that_role_","A_ca_nt_be_deleted_when_there_exists_documents_are_owned_by_that_role_","role_that","relevant"
"An_end_user_can_delegate_a_role_to_another_person_role_for_a_predefined_period_of_time_","An_end_can_delegate_a_role_to_another_person_role_for_a_predefined_period_of_time_","user","relevant"
"A_role_has_a_log_in_which_the_assignment_of_rights_and_the_expiration_of_rights_are_logged_","A_has_a_log_in_which_the_of_rights_and_the_of_rights_are_logged_","role_assignment_expiration","relevant"
"A_role_has_a_log_in_which_delegations_and_the_expiration_of_delegations_are_logged_","A_has_a_log_in_which_and_the_expiration_of_delegations_are_logged_","role_delegations","relevant"
"A_role_can_have_the_right_to_assign_a_role_right_to_a_subordinate_role_","A_can_have_the_right_to_assign_a_role_right_to_a_subordinate_role_","role","relevant"
"A_role_can_have_the_right_to_remove_a_role_right_from_a_subordinate_role_","A_can_have_the_right_to_remove_a_role_right_from_a_subordinate_role_","role","relevant"
"A_role_can_have_the_right_to_create_subordinate_roles_","A_can_have_the_right_to_create_subordinate_roles_","role","relevant"
"Any_role_has_the_right_to_read_view_all_roles_","Any_has_the_right_to_read_view_all_roles_","role","relevant"
"A_role_can_have_the_right_to_update_subordinate_roles_","A_can_have_the_right_to_update_subordinate_roles_","role","relevant"
"A_role_can_have_the_right_to_delete_subordinate_roles_","A_can_have_the_right_to_delete_subordinate_roles_","role","relevant"
"A_role_cannot_be_deleted_when_it_manages_subordinate_roles_","A_cannot_be_deleted_when_manages_subordinate_roles_","role_it","relevant"
"A_role_can_have_the_right_to_couple_a_person_role_to_a_subordinate_role_","A_can_have_the_right_to_couple_a_person_role_to_a_subordinate_role_","role","relevant"
"A_role_can_have_the_right_to_decouple_a_person_role_from_a_subordinate_role_","A_can_have_the_right_to_decouple_a_person_role_from_a_subordinate_role_","role","relevant"
"A_role_can_have_the_right_to_assign_a_document_right_of_a_document_he_owns_to_another_role_","A_can_have_the_right_to_assign_a_document_right_of_a_document_owns_to_another_role_","role_he","relevant"
"A_role_can_have_the_right_to_take_a_document_right_of_a_document_he_owns_from_another_role_","A_can_have_the_right_to_take_a_document_right_of_a_document_owns_from_another_role_","role_he","relevant"
"A_role_can_upload_files_into_the_document_space_associated_with_that_role_","A_can_upload_files_into_the_document_space_associated_with_that_role_","role","relevant"
"A_role_can_download_files_from_the_document_space_associated_with_that_role_","A_can_download_files_from_the_document_space_associated_with_that_role_","role","relevant"
"A_role_with_the_update_right_can_update_files_in_the_document_space_associated_with_that_role_","A_with_the_update_right_can_update_files_in_the_document_space_associated_with_that_role_","role","relevant"
"A_role_with_the_delete_right_can_delete_files_in_the_document_space_associated_with_that_role_","A_with_the_delete_right_can_delete_files_in_the_document_space_associated_with_that_role_","role","relevant"
"Each_document_in_the_SDA_is_owned_by_exactly_one_role_","Each_in_the_SDA_is_owned_by_exactly_one_role_","document","relevant"
"A_role_that_owns_a_document_can_hand_over_that_ownership_to_another_role_","A_owns_a_document_can_hand_over_that_ownership_to_another_role_","role_that","relevant"
"A_user_can_start_chating_with_other_user_by_clicking_on_the_chat_menu","A_can_start_chating_with_other_user_by_clicking_on_the_chat_menu","user","irrelevant"
