@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"A_user_shall_have_a_bank_account_","A_shall_have_a_bank_account_","user","irrelevant"
"An_account_is_either_an_administrator_account_a_scientist_account_or_an_observer_account_","An_is_either_an_administrator_account_a_scientist_account_or_an_observer_account_","account","relevant"
"IMSETY_shall_be_a_multi_user_system_","shall_be_a_multi_user_system_","IMSETY","relevant"
"IMSETY_shall_require_users_to_be_logged_in_before_they_can_use_any_of_the_system_s_functionality_","shall_require_users_to_be_logged_in_before_can_use_any_of_the_system_s_functionality_","IMSETY_they","relevant"
"IMSETY_shall_not_allow_administrators_and_scientists_to_be_logged_in_more_than_once_","shall_not_allow_and_scientists_to_be_logged_in_more_than_once_","IMSETY_administrators","relevant"
"IMSETY_shall_include_a_demonstration_experiment_","shall_include_a_demonstration_experiment_","IMSETY","relevant"
"A_user_shall_only_be_able_to_use_those_parts_of_the_system_to_which_he_is_authorized_","A_shall_only_be_able_to_use_those_parts_of_the_system_to_which_is_authorized_","user_he","relevant"
"Observers_shall_not_be_authorized_to_submit_question_to_system_administrator_","shall_not_be_authorized_to_submit_question_to_system_administrator_","Observers","relevant"
"IMSETY_shall_adhere_to_table_2_1_for_user_rights_","shall_adhere_to_table_2_1_for_user_rights_","IMSETY","relevant"
"IMSETY_shall_adhere_to_table_2_1_for_group_rights_","shall_adhere_to_table_2_1_for_group_rights_","IMSETY","relevant"
"An_administrator_shall_be_able_to_register_a_satellite_with_the_system_","An_shall_be_able_to_register_a_satellite_with_the_system_","administrator","relevant"
"An_administrator_shall_be_able_to_retrieve_the_information_of_a_registered_satellite_","An_shall_be_able_to_retrieve_the_information_of_a_registered_satellite_","administrator","relevant"
"An_administrator_shall_be_able_to_update_the_information_of_a_registered_satellite_","An_shall_be_able_to_update_the_information_of_a_registered_satellite_","administrator","relevant"
"An_administrator_shall_be_able_to_unregister_a_satellite_with_the_system_","An_shall_be_able_to_unregister_a_satellite_with_the_system_","administrator","relevant"
"An_administrator_shall_be_able_to_register_a_payload_with_the_system_","An_shall_be_able_to_register_a_payload_with_the_system_","administrator","relevant"
"An_administrator_shall_be_able_to_configure_whether_multiple_experiments_may_be_executed_simultaneously_on_a_particular_satellite_","An_shall_be_able_to_configure_whether_multiple_may_be_executed_simultaneously_on_a_particular_satellite_","administrator_experiments","relevant"
"An_administrator_shall_be_able_to_retrieve_the_information_of_a_registered_payload_","An_shall_be_able_to_retrieve_the_information_of_a_registered_payload_","administrator","relevant"
"An_administrator_shall_be_able_to_update_the_information_of_a_registered_payload_","An_shall_be_able_to_update_the_information_of_a_registered_payload_","administrator","relevant"
"At_any_moment_only_one_administrator_is_allowed_to_update_the_information_of_a_single_payload_registration_","At_any_moment_only_one_is_allowed_to_update_the_information_of_a_single_payload_registration_","administrator","relevant"
"An_administrator_shall_be_able_to_unregister_a_payload_with_the_system_","An_shall_be_able_to_unregister_a_payload_with_the_system_","administrator","relevant"
"An_administrator_shall_be_able_to_link_a_registered_payload_to_exactly_one_satellite_","An_shall_be_able_to_link_a_registered_payload_to_exactly_one_satellite_","administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_create_an_account_","shall_allow_an_to_create_an_account_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_retrieve_account_information_","shall_allow_an_to_retrieve_account_information_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_configure_all_plug_ins_for_the_system_","shall_allow_an_to_configure_all_plug_ins_for_the_system_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_update_account_information_","shall_allow_an_to_update_account_information_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_delete_an_account_","shall_allow_an_to_delete_an_account_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_an_administrator_to_configure_which_users_have_particular_rights_to_which_payloads_","shall_allow_an_administrator_to_configure_which_have_particular_rights_to_which_payloads_","IMSETY_users","relevant"
"IMSETY_shall_allow_an_administrator_to_set_up_possible_payload_specific_commands_through_a_plain_text_file_","shall_allow_an_to_set_up_possible_payload_specific_commands_through_a_plain_text_file_","IMSETY_administrator","irrelevant"
"IMSETY_shall_allow_an_administrator_to_set_up_possible_satellite_commands_through_an_interface_","shall_allow_an_to_set_up_possible_satellite_commands_through_an_interface_","IMSETY_administrator","relevant"
"IMSETY_shall_allow_scientists_to_retrieve_experiment_details_","shall_allow_to_retrieve_experiment_details_","IMSETY_scientists","relevant"
"IMSETY_shall_communicate_a_list_of_payload_specific_commands_to_the_scientist_","shall_communicate_a_list_of_payload_specific_commands_to_the_scientist_","IMSETY","relevant"
"IMSETY_shall_let_scientists_select_commands_from_this_list_and_thereby_compose_an_experiment_","shall_let_select_commands_from_this_list_and_thereby_compose_an_experiment_","IMSETY_scientists","relevant"
"IMSETY_shall_not_allow_scientists_to_type_in_commands_directly_","shall_not_allow_to_type_in_commands_directly_","IMSETY_scientists","relevant"
"A_scientist_shall_be_able_to_request_the_scheduling_of_the_execution_of_experiments_on_a_predefined_moment_","A_shall_be_able_to_request_the_scheduling_of_the_execution_of_experiments_on_a_predefined_moment_","scientist","relevant"
