@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_system_administrator_must_be_able_to_deactivate_and_reactivate_student_account_login","The_system_must_be_able_to_deactivate_and_reactivate_student_account_login","administrator","relevant"
"The_system_administrator_must_be_able_to_force_the_sending_of_a_new_password_to_a_student_via_email","The_system_must_be_able_to_force_the_sending_of_a_new_password_to_a_student_via_email","administrator","relevant"
"The_system_administrator_must_be_able_to_change_any_of_a_student_s_details","The_system_must_be_able_to_change_any_of_a_student_s_details","administrator","relevant"
"Student_can_be_register_on_the_system_and_fill_in_all_detail_and_forward_to_choose_project_supervisor","can_be_register_on_the_system_and_fill_in_all_detail_and_forward_to_choose_project_supervisor","Student","relevant"
"Student_can_change_detail_such_as_telephone_number_if_information_is_incorrect","can_change_detail_such_as_telephone_number_if_is_incorrect","Student_information","relevant"
"Student_can_change_his_login_password_at_any_time_for_security_reason","can_change_his_login_password_at_any_time_for_security_reason","Student","relevant"
"Student_can_request_his_password_if_he_she_forgotten_the_password","can_request_his_password_if_he_forgotten_the_password","Student_she","relevant"
"All_staff_can_view_the_details_of_any_student","All_can_view_the_details_of_any_student","staff","relevant"
"Certain_staff_may_be_designated_as_Unit_or_Cohort_Co_ordinators_and_can_change_the_details_of_any_student_doing_their_unit_or_project_cohort","Certain_may_be_designated_as_Unit_or_Cohort_Co_ordinators_and_can_change_the_details_of_any_student_doing_their_unit_or_project_cohort","staff","irrelevant"
"Unit_Cohort_co_ordinator_can_change_student_detail_for_incorrect_information","Unit_Cohort_co_can_change_student_detail_for_incorrect_information","ordinator","relevant"
"Unit_Cohort_co_ordinator_can_view_student_information_and_monitor_their_progress","Unit_Cohort_co_can_view_student_information_and_monitor_their_progress","ordinator","relevant"
"Unit_Cohort_co_ordinator_can_list_all_employee_who_request_a_personal_development_program","Unit_Cohort_co_can_list_all_employee_request_a_personal_development_program","ordinator_who","irrelevant"
"Unit_Cohort_co_ordinator_can_reset_the_students_password_if_required","Unit_Cohort_co_can_reset_the_students_password_if_required","ordinator","relevant"
"System_Administrator_can_backup_the_mail_server_of_course_registration_regularly","System_can_backup_the_mail_server_of_course_registration_regularly","Administrator","irrelevant"
"System_Administrator_can_reset_the_student_s_password_if_required","System_can_reset_the_student_s_password_if_required","Administrator","relevant"
"Administration_Staff_can_create_a_monthly_accounting_report","Administration_can_create_a_monthly_accounting_report","Staff","irrelevant"
"Administration_Staff_can_make_a_school_announcement","Administration_can_make_a_school_announcement","Staff","irrelevant"
