@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"Items_are_bought_from_various_vendors_located_in_or_outside_United_States_","are_bought_from_various_vendors_located_in_or_outside_United_States_","Items","relevant"
"The_buyer_get_in_contact_with_various_vendors_and_create_catalog_list_of_items_from_where_the_Store_Managers_of_every_store_buy_items_for_their_store_","The_get_in_contact_with_various_vendors_and_create_catalog_list_of_items_from_where_the_Store_of_every_store_buy_items_for_their_store_","buyer_Managers","relevant"
"The_Online_system_will_give_the_advantage_of_keeping_track_of_all_purchase_orders_at_any_given_point_of_time_thus_eliminating_paperwork_and_in_turn_error_caused_by_it","The_Online_will_give_the_advantage_of_keeping_track_of_all_purchase_orders_at_any_given_point_of_time_thus_eliminating_paperwork_and_in_turn_error_caused_by_it","system","irrelevant"
"All_The_above_users_have_similar_rights_","All_The_above_have_similar_rights_","users","relevant"
"They_have_total_access_the_BPMS_system_","have_total_access_the_BPMS_system_","They","relevant"
"They_have_the_rights_to_generate_new_users_in_the_system_","have_the_rights_to_generate_new_users_in_the_system_","They","relevant"
"They_will_have_the_total_access_to_all_the_transaction_reports_in_the_accounting_system_being_a_people_from_the_management_team_of_the_organization_","will_have_the_total_access_to_all_the_transaction_reports_in_the_accounting_system_being_a_people_from_the_management_team_of_the_organization_","They","irrelevant"
"District_manager_may_have_more_than_1_store_under_him_","District_may_have_more_than_1_store_under_him_","manager","relevant"
"He_logs_in_he_sees_only_stores_under_him_i_e_a_list_of_his_stores_and_toggle_between_them_","logs_in_sees_only_stores_under_him_i_e_a_list_of_his_stores_and_toggle_between_them_","He_he","relevant"
"He_should_have_managerial_type_access_only_for_those_stores_that_are_under_him_","should_have_managerial_type_access_only_for_those_stores_are_under_him_","He_that","relevant"
"The_Store_Manager_and_Assistant_Store_Manager_have_limited_access_in_the_BPMS_","The_Store_and_Assistant_Store_Manager_have_limited_access_in_the_BPMS_","Manager","relevant"
"They_will_be_able_to_see_the_details_restricted_to_their_Store_only_","will_be_able_to_see_the_restricted_to_their_Store_only_","They_details","relevant"
"Cost_of_items_bought_will_not_be_disclosed","of_items_bought_will_not_be_disclosed","Cost","relevant"
"The_comparison_with_other_vendor_items_will_not_shown","The_with_other_vendor_items_will_not_shown","comparison","relevant"
"he_Enter_the_details_of_Sales_for_his_store_registers","Enter_the_details_of_Sales_for_his_store_registers","he","relevant"
"The_usage_of_the_system_will_be_restricted_only_to_add_cash_registers_and_changing_his_password","The_of_the_system_will_be_restricted_only_to_add_cash_registers_and_changing_his_password","usage","relevant"
"The_Stores_will_have_limited_Internet_access_that_is_the_usage_of_BPMS_system_online_rest_of_the_Internet_will_not_be_accessible_","The_will_have_limited_Internet_access_is_the_usage_of_BPMS_system_online_rest_of_the_Internet_will_not_be_accessible_","Stores_that","relevant"
