@relation pandasdata

@attribute reqs_statement string
@attribute  action_part string
@attribute actor_part string
@attribute label{irrelevant,relevant}

@data
"The_only_requirements_besides_having_an_iPhone_will_be_having_a_Twitter_account_and_internet_acces","The_only_besides_having_an_iPhone_will_be_having_a_Twitter_account_and_internet_acces","requirements","irrelevant"
"The_Twitter_client_is_a_two_monts_project_that_cost_us_almost_seventy_million_dollars_","The_Twitter_is_a_two_monts_project_cost_us_almost_seventy_million_dollars_","client_that","irrelevant"
"The_data_objects_that_are_while_used_inside_the_application_will_be_tested_using_black_box_testing_","The_data_are_while_used_inside_the_application_will_be_tested_using_black_box_testing_","objects_that","relevant"
"They_will_provide_all_the_information_the_user_wants_to_see_based_on_what_he_or_she_inputs","will_provide_all_the_information_the_wants_to_see_based_on_what_or_she_inputs","They_user_he","relevant"
"The_user_is_the_main_data_object_of_the_client_s_system_","The_is_the_main_data_object_of_the_client_s_system_","user","relevant"
"The_user_will_log_into_the_client_by_supplying_a_username_and_password_","The_will_log_into_the_client_by_supplying_a_username_and_password_","user","relevant"
"If_the_user_does_not_already_have_a_Twitter_account_then_they_will_have_to_create_one_in_order_to_log_into_the_client","If_the_does_not_already_have_a_Twitter_account_then_will_have_to_create_one_in_order_to_log_into_the_client","user_they","relevant"
"After_logging_in_the_user_will_then_be_able_to_use_a_search_box_for_any_anything_they_may_want_to_search_for_or_they_can_enter_a_new_Tweet_for_their_own_account_","After_logging_in_the_will_then_be_able_to_use_a_search_box_for_any_anything_may_want_to_search_for_or_can_enter_a_new_Tweet_for_their_own_account_","user_they_they","relevant"
"The_user_will_also_be_able_to_select_who_to_follow_and_whether_or_not_to_allow_someone_to_follow_them_","The_will_also_be_able_to_select_to_follow_and_whether_or_not_to_allow_to_follow_them_","user_who_someone","relevant"
"The_user_s_Twitter_page_is_designed_using_user_centered_design_approach_","The_user_s_Twitter_is_designed_using_user_centered_design_approach_","page","irrelevant"
"This_is_where_all_the_users_Tweets_are_displayed_and_also_the_list_of_whom_he_or_she_is_following_or_who_is_following_them_","is_where_all_the_are_displayed_and_also_the_list_of_whom_or_she_is_following_or_is_following_them_","This_users_Tweets_he_who","relevant"
"As_the_user_enters_new_Tweets_or_someone_tags_his_or_her_name_in_a_Tweet_the_page_will_change_","As_the_enters_new_Tweets_or_tags_his_or_her_name_in_a_Tweet_the_will_change_","user_someone_page","relevant"
"The_new_page_must_be_updated_every_time_a_change_occurs_","The_new_must_be_updated_every_time_a_occurs_","page_change","relevant"
"A_tweet_is_an_object_of_a_class_Tweet_that_has_attribute_message_source_and_destination_","A_is_an_object_of_a_class_Tweet_has_attribute_message_source_and_destination_","tweet_that","irrelevant"
"A_Tweet_will_be_input_by_the_user_of_the_client_","A_will_be_input_by_the_user_of_the_client_","Tweet","relevant"
"A_Tweet_can_be_any_sort_of_text_as_long_as_it_is_under_the_maximum_number_of_characters_allowed_per_Tweet_","A_can_be_any_sort_of_text_as_long_as_is_under_the_maximum_number_of_characters_allowed_per_Tweet_","Tweet_it","relevant"
"A_newly_entered_Tweet_will_appear_on_the_user_s_Twitter_page_upon_submission_","A_newly_entered_will_appear_on_the_user_s_Twitter_page_upon_submission_","Tweet","relevant"
"Each_pages_on_Twitter_are_also_an_object_of_a_class_Tweet_","Each_on_Twitter_are_also_an_object_of_a_class_Tweet_","pages","relevant"
"The_user_will_be_able_to_access_other_pages_by_either_searching_or_clicking_a_linked_page_on_their_page_","The_will_be_able_to_access_other_pages_by_either_searching_or_clicking_a_linked_page_on_their_page_","user","relevant"
"The_client_would_not_be_appealing_if_only_the_user_s_page_could_be_accessed_so_ability_to_access_other_pages_is_essential_","The_would_not_be_appealing_if_only_the_user_s_could_be_accessed_so_to_access_other_pages_is_essential_","client_page_ability","relevant"
"A_trending_topics_page_will_be_very_useful_to_the_user_because_it_will_keep_them_up_to_date_on_what_is_popular_","A_trending_topics_will_be_very_useful_to_the_user_because_will_keep_them_up_to_date_on_is_popular_","page_it_what","relevant"
"The_user_will_enter_a_Tweet_that_can_be_seen_by_themselves_and_anyone_who_is_following_them_","The_will_enter_a_Tweet_can_be_seen_by_themselves_and_anyone_is_following_them_","user_that_who","relevant"
"If_the_user_is_tagged_in_a_tweet_it_will_immediately_be_viewable_by_the_user_","If_the_is_tagged_in_a_tweet_will_immediately_be_viewable_by_the_user_","user_it","relevant"
"The_user_has_the_ability_to_search_for_other_Twitter_pages_by_using_a_search_box_","The_has_the_ability_to_search_for_other_Twitter_pages_by_using_a_search_box_","user","relevant"
"The_Twitter_client_will_store_data_only_in_one_location_","The_Twitter_will_store_data_only_in_one_location_","client","relevant"
"The_only_data_that_will_be_stored_will_be_the_users_username_and_password_to_increase_ease_of_access_","The_only_will_be_stored_will_be_the_users_username_and_password_to_increase_ease_of_access_","data_that","relevant"
"The_tweets_that_the_user_enters_and_the_tweets_that_the_user_is_tagged_in_will_all_be_handled_by_the_Twitter_API_that_we_will_be_working_with_","The_that_the_enters_and_the_tweets_that_the_is_tagged_in_will_all_be_handled_by_the_Twitter_API_that_will_be_working_with_","tweets_user_user_we","relevant"
"The_searches_that_the_user_submits_do_not_need_to_be_saved_so_they_will_not_be_","The_that_the_submits_do_not_need_to_be_saved_so_will_not_be_","searches_user_they","relevant"
"A_user_will_enter_his_her_credentials_into_the_proper_fields_and_the_user_will_be_logged_into_the_Twitter_system_","A_will_enter_his_her_credentials_into_the_proper_fields_and_the_will_be_logged_into_the_Twitter_system_","user_user","relevant"
"User_will_be_given_option_to_remember_credentials_so_further_input_at_startup_is_not_necessary_","will_be_given_option_to_remember_credentials_so_further_at_startup_is_not_necessary_","User_input","relevant"
"When_the_user_clicks_logout_all_personal_data_will_be_removed_and_all_program_data_will_be_wiped_","When_the_clicks_logout_all_personal_will_be_removed_and_all_program_will_be_wiped_","user_data_data","relevant"
"The_user_s_password_will_be_removed_and_the_user_will_be_forced_to_re_enter_their_credentials_at_next_startup_","The_user_s_will_be_removed_and_the_will_be_forced_to_re_enter_their_credentials_at_next_startup_","password_user","relevant"
"Once_the_user_has_successfully_logged_into_the_Twitter_system_the_users_Twitter_feed_will_be_displayed_on_the_screen_","Once_the_has_successfully_logged_into_the_Twitter_system_the_users_Twitter_will_be_displayed_on_the_screen_","user_feed","relevant"
"The_number_of_previous_data_displayed_will_be_preset_by_the_user_in_the_preferences_pane_","The_of_previous_data_displayed_will_be_preset_by_the_user_in_the_preferences_pane_","number","relevant"
"A_new_view_will_display_and_show_a_composition_window_with_various_rich_text_and_multimedia_options_","A_new_will_display_and_show_a_composition_window_with_various_rich_text_and_multimedia_options_","view","irrelevant"
"The_user_can_then_enter_his_her_tweet_and_submit_it_to_the_Twitter_system_","The_can_then_enter_his_her_tweet_and_submit_it_to_the_Twitter_system_","user","relevant"
"The_tweet_will_be_immediately_displayed_on_the_users_feed_","The_will_be_immediately_displayed_on_the_users_feed_","tweet","relevant"
"When_in_the_composition_window_the_user_will_be_prompted_with_an_image_picker_which_will_allow_the_user_to_insert_an_image_from_the_users_device_","When_in_the_composition_window_the_will_be_prompted_with_an_image_picker_will_allow_the_to_insert_an_image_from_the_users_device_","user_which_user","irrelevant"
"When_in_the_composition_windows_the_camera_display_will_be_shown_and_once_the_image_is_taken_the_user_will_be_given_the_option_to_keep_re_taking_","When_in_the_composition_windows_the_camera_will_be_shown_and_once_the_is_taken_the_will_be_given_the_option_to_keep_re_taking_","display_image_user","relevant"
"If_the_user_keeps_the_photo_it_will_be_used_in_the_composition_window_if_the_user_selects_re_take_the_photo_will_be_deleted_and_the_camera_display_will_be_shown_again_","If_the_keeps_the_photo_will_be_used_in_the_composition_window_if_the_user_selects_re_take_the_will_be_deleted_and_the_camera_will_be_shown_again_","user_it_photo_display","relevant"
"The_user_will_be_prompted_to_insert_existing_voice_memo_or_take_a_new_voice_memo_","The_will_be_prompted_to_insert_existing_voice_memo_or_take_a_new_voice_memo_","user","relevant"
"The_user_will_be_prompted_with_a_clip_picker_so_the_user_may_select_a_pre_existing_clip_on_their_device_","The_will_be_prompted_with_a_clip_picker_so_the_may_select_a_pre_existing_clip_on_their_device_","user_user","irrelevant"
"The_user_will_be_shown_the_voice_memo_window_in_which_he_she_may_record_a_new_voice_memo_","The_will_be_shown_the_voice_memo_window_in_which_he_may_record_a_new_voice_memo_","user_she","relevant"
"The_user_will_then_have_the_option_to_hear_the_voice_memo_before_submitting_","The_will_then_have_the_option_to_hear_the_voice_memo_before_submitting_","user","relevant"
"Once_listened_to_the_user_may_select_keep_or_re_record_","Once_listened_to_the_may_select_keep_or_re_record_","user","relevant"
"If_the_user_decides_to_keep_the_memo_the_memo_will_be_inserted_into_the_composition_window_","If_the_decides_to_keep_the_memo_the_will_be_inserted_into_the_composition_window_","user_memo","relevant"
"If_the_user_decided_to_re_record_the_memo_will_be_removed_and_the_user_will_be_shown_the_voice_memo_window_again_","If_the_decided_to_re_record_the_will_be_removed_and_the_will_be_shown_the_voice_memo_window_again_","user_memo_user","relevant"
"This_function_will_display_all_mentions_of_the_users_handle_or_username_in_the_Twitter_system_","This_will_display_all_mentions_of_the_users_handle_or_username_in_the_Twitter_system_","function","relevant"
"This_function_will_display_a_search_window_in_which_the_user_can_search_for_specific_words_in_Tweets_","This_will_display_a_search_window_in_which_the_can_search_for_specific_words_in_Tweets_","function_user","relevant"
"The_window_will_also_offer_the_ability_to_search_for_users_on_Twitter_","The_will_also_offer_the_ability_to_search_for_users_on_Twitter_","window","relevant"
"This_window_will_display_the_users_Direct_Message_or_DM_inbox_","This_will_display_the_users_Direct_Message_or_DM_inbox_","window","relevant"
"This_function_will_also_allow_the_user_to_compose_a_new_message_delete_current_messages_and_read_existing_messages_in_greater_detail_","This_will_also_allow_the_to_compose_a_new_message_delete_current_messages_and_read_existing_messages_in_greater_detail_","function_user","relevant"
"This_function_will_display_topics_which_are_currently_trending_on_twitter_","This_will_display_topics_are_currently_trending_on_twitter_","function_which","relevant"
"The_order_of_the_topics_will_be_determined_by_the_items_rise_in_popularity_over_a_given_timeline_","The_of_the_topics_will_be_determined_by_the_items_rise_in_popularity_over_a_given_timeline_","order","relevant"
"This_function_will_display_a_preferences_view_which_will_contain_various_settings_which_the_user_may_change_based_on_preference_","This_will_display_a_preferences_view_will_contain_various_settings_which_the_may_change_based_on_preference_","function_which_user","relevant"
"The_Twitter_client_will_run_natively_on_all_iOS_devices_including_the_iPod_touch_and_iPad_","The_Twitter_will_run_natively_on_all_iOS_devices_including_the_iPod_touch_and_iPad_","client","relevant"
